Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,APIGas,APIGas,EUR,Central Europe Standard Time,Hour
,,TTF
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
25/11/2014,18,19.8837615067969
25/11/2014,19,19.8824553954446
25/11/2014,20,19.881149348269
25/11/2014,21,19.8798433655102
25/11/2014,22,19.8785374473973
25/11/2014,23,19.8772315941678
25/11/2014,24,19.8759258060618
26/11/2014,1,19.8746200833139
26/11/2014,2,19.8733144261587
26/11/2014,3,19.8720088348364
26/11/2014,4,19.870703309587
26/11/2014,5,19.8693978506426
26/11/2014,6,19.8680924582513
26/11/2014,7,19.8667871326452
26/11/2014,8,19.865481874067
26/11/2014,9,19.8641766827568
26/11/2014,10,19.8628715589548
26/11/2014,11,19.861566502901
26/11/2014,12,19.8602615148384
26/11/2014,13,19.8589565950097
26/11/2014,14,19.857651743655
26/11/2014,15,19.8563469610199
26/11/2014,16,19.8550422473445
26/11/2014,17,19.8537376028771
26/11/2014,18,19.8524330278551
26/11/2014,19,19.8511285225295
26/11/2014,20,19.8498240871404
26/11/2014,21,19.8485197219361
26/11/2014,22,19.8472154271649
26/11/2014,23,19.8459112030614
26/11/2014,24,19.8446070498931
27/11/2014,1,19.8433029678863
27/11/2014,2,19.8419989572976
27/11/2014,3,19.8406950183726
27/11/2014,4,19.8393911513676
27/11/2014,5,19.8380873565202
27/11/2014,6,19.8367836340867
27/11/2014,7,19.8354799843182
27/11/2014,8,19.8341764074548
27/11/2014,9,19.8328729037557
27/11/2014,10,19.8315694734747
27/11/2014,11,19.8302661168518
27/11/2014,12,19.8289628341518
27/11/2014,13,19.8276596256146
27/11/2014,14,19.8263564915051
27/11/2014,15,19.8250534320632
27/11/2014,16,19.8237504475592
27/11/2014,17,19.8224475382276
27/11/2014,18,19.8211447043359
27/11/2014,19,19.8198419461405
27/11/2014,20,19.818539263887
27/11/2014,21,19.8172366578347
27/11/2014,22,19.8159341282453
27/11/2014,23,19.81463167537
27/11/2014,24,19.813329299468
28/11/2014,1,19.8120270007903
28/11/2014,2,19.8107247796042
28/11/2014,3,19.8094226361663
28/11/2014,4,19.8081205707276
28/11/2014,5,19.8068185835582
28/11/2014,6,19.8055166749091
28/11/2014,7,19.8042148450422
28/11/2014,8,19.8029130942195
28/11/2014,9,19.801611422703
28/11/2014,10,19.8003098307518
28/11/2014,11,19.7990083186305
28/11/2014,12,19.797706886593
28/11/2014,13,19.7964055349121
28/11/2014,14,19.795104263847
28/11/2014,15,19.7938030736595
28/11/2014,16,19.7925019646173
28/11/2014,17,19.7912009369766
28/11/2014,18,19.789899991013
28/11/2014,19,19.7885991269832
28/11/2014,20,19.7872983451571
28/11/2014,21,19.7859976457994
28/11/2014,22,19.7846970291776
28/11/2014,23,19.7833964955562
28/11/2014,24,19.7820960452082
29/11/2014,1,19.7807956783927
29/11/2014,2,19.7794953953799
29/11/2014,3,19.7781951964453
29/11/2014,4,19.7768950818563
29/11/2014,5,19.7755950518722
29/11/2014,6,19.7742951067767
29/11/2014,7,19.7729952468317
29/11/2014,8,19.7716954723073
29/11/2014,9,19.7703957834792
29/11/2014,10,19.7690961806175
29/11/2014,11,19.7677966639949
29/11/2014,12,19.7664972338789
29/11/2014,13,19.7651978905506
29/11/2014,14,19.7638986342772
29/11/2014,15,19.7625994653372
29/11/2014,16,19.7613003839979
29/11/2014,17,19.7600013905403
29/11/2014,18,19.7587024852346
29/11/2014,19,19.7574036683618
29/11/2014,20,19.756104940192
29/11/2014,21,19.754806301009
29/11/2014,22,19.7535077510802
29/11/2014,23,19.752209290692
29/11/2014,24,19.7509109201119
30/11/2014,1,19.7496126396263
30/11/2014,2,19.7483144495136
30/11/2014,3,19.7470163500466
30/11/2014,4,19.745718341509
30/11/2014,5,19.7444204241792
30/11/2014,6,19.743122598341
30/11/2014,7,19.7418248642725
30/11/2014,8,19.7405272222495
30/11/2014,9,19.7392296725584
30/11/2014,10,19.7379322154857
30/11/2014,11,19.7366348513069
30/11/2014,12,19.7353375803059
30/11/2014,13,19.7340404027664
30/11/2014,14,19.7327433189776
30/11/2014,15,19.7314463292123
30/11/2014,16,19.7301494337653
30/11/2014,17,19.7288526329176
30/11/2014,18,19.7275559269501
30/11/2014,19,19.7262593161577
30/11/2014,20,19.7249628008212
30/11/2014,21,19.7236663812246
30/11/2014,22,19.7223700576651
30/11/2014,23,19.7210738304184
30/11/2014,24,19.7197776997764
01/12/2014,1,19.718481666031
01/12/2014,2,19.7171857294716
01/12/2014,3,19.715889890379
01/12/2014,4,19.7145941490508
01/12/2014,5,19.7132985057733
01/12/2014,6,19.7120029608413
01/12/2014,7,19.7107075145414
01/12/2014,8,19.7094121671626
01/12/2014,9,19.7081169190078
01/12/2014,10,19.7068217703554
01/12/2014,11,19.7055267215082
01/12/2014,12,19.7042317727555
01/12/2014,13,19.7029369243919
01/12/2014,14,19.7016421767039
01/12/2014,15,19.7003475299998
01/12/2014,16,19.6990529845689
01/12/2014,17,19.6977585406948
01/12/2014,18,19.6964641986942
01/12/2014,19,19.6951699588426
01/12/2014,20,19.693875821451
01/12/2014,21,19.6925817868114
01/12/2014,22,19.6912878552212
01/12/2014,23,19.689994026975
01/12/2014,24,19.6887003023785
02/12/2014,1,19.6874066817263
02/12/2014,2,19.6861131653131
02/12/2014,3,19.6848197534446
02/12/2014,4,19.6835264464207
02/12/2014,5,19.6822332445363
02/12/2014,6,19.6809401481023
02/12/2014,7,19.6796471574053
02/12/2014,8,19.6783542727617
02/12/2014,9,19.6770614944662
02/12/2014,10,19.6757688228217
02/12/2014,11,19.6744762581311
02/12/2014,12,19.6731838006972
02/12/2014,13,19.6718914508283
02/12/2014,14,19.6705992088246
02/12/2014,15,19.6693070749943
02/12/2014,16,19.668015049635
02/12/2014,17,19.6667231330603
02/12/2014,18,19.6654313255731
02/12/2014,19,19.6641396274817
02/12/2014,20,19.6628480390864
02/12/2014,21,19.6615565607035
02/12/2014,22,19.660265192636
02/12/2014,23,19.6589739351921
02/12/2014,24,19.6576827886774
03/12/2014,1,19.6563917534113
03/12/2014,2,19.655100829691
03/12/2014,3,19.6538100178332
03/12/2014,4,19.652519318146
03/12/2014,5,19.6512287309433
03/12/2014,6,19.6499382565307
03/12/2014,7,19.6486478952247
03/12/2014,8,19.6473576473336
03/12/2014,9,19.6460675131711
03/12/2014,10,19.6447774930539
03/12/2014,11,19.6434875872901
03/12/2014,12,19.6421977961991
03/12/2014,13,19.6409081200836
03/12/2014,14,19.6396185592685
03/12/2014,15,19.6383291140728
03/12/2014,16,19.6370397847995
03/12/2014,17,19.6357505717679
03/12/2014,18,19.6344614753025
03/12/2014,19,19.6331724957145
03/12/2014,20,19.6318836333176
03/12/2014,21,19.630594888431
03/12/2014,22,19.6293062613768
03/12/2014,23,19.6280177524714
03/12/2014,24,19.626729362034
04/12/2014,1,19.6254410903839
04/12/2014,2,19.6241529378376
04/12/2014,3,19.6228649047198
04/12/2014,4,19.621576991347
04/12/2014,5,19.6202891980438
04/12/2014,6,19.6190015251323
04/12/2014,7,19.6177139729289
04/12/2014,8,19.6164265417638
04/12/2014,9,19.6151392319534
04/12/2014,10,19.6138520438199
04/12/2014,11,19.6125649776932
04/12/2014,12,19.6112780338926
04/12/2014,13,19.6099912127429
04/12/2014,14,19.6087045145741
04/12/2014,15,19.6074179397056
04/12/2014,16,19.6061314884646
04/12/2014,17,19.6048451611759
04/12/2014,18,19.6035589581725
04/12/2014,19,19.6022728797734
04/12/2014,20,19.6009869263144
04/12/2014,21,19.5997010981118
04/12/2014,22,19.5984153955042
04/12/2014,23,19.5971298188188
04/12/2014,24,19.595844368383
05/12/2014,1,19.5945590445217
05/12/2014,2,19.5932738475758
05/12/2014,3,19.5919887778646
05/12/2014,4,19.5907038357291
05/12/2014,5,19.5894190214913
05/12/2014,6,19.5881343354868
05/12/2014,7,19.5868497780539
05/12/2014,8,19.5855653495173
05/12/2014,9,19.5842810502099
05/12/2014,10,19.5829968804701
05/12/2014,11,19.5817128406279
05/12/2014,12,19.5804289310217
05/12/2014,13,19.5791451519817
05/12/2014,14,19.5778615038489
05/12/2014,15,19.5765779869507
05/12/2014,16,19.575294601631
05/12/2014,17,19.5740113482225
05/12/2014,18,19.5727282270609
05/12/2014,19,19.5714452384873
05/12/2014,20,19.5701623828372
05/12/2014,21,19.5688796604491
05/12/2014,22,19.5675970716638
05/12/2014,23,19.5663146168145
05/12/2014,24,19.5650322962447
06/12/2014,1,19.563750110301
06/12/2014,2,19.562468059311
06/12/2014,3,19.5611861436237
06/12/2014,4,19.5599043635775
06/12/2014,5,19.5586227195108
06/12/2014,6,19.557341211781
06/12/2014,7,19.5560598407073
06/12/2014,8,19.55477860665
06/12/2014,9,19.5534975099472
06/12/2014,10,19.5522165509401
06/12/2014,11,19.5509357299807
06/12/2014,12,19.5496550474018
06/12/2014,13,19.5483745035608
06/12/2014,14,19.5470940987962
06/12/2014,15,19.5458138334516
06/12/2014,16,19.5445337078845
06/12/2014,17,19.5432537224278
06/12/2014,18,19.5419738774362
06/12/2014,19,19.5406941732617
06/12/2014,20,19.5394146102399
06/12/2014,21,19.5381351887336
06/12/2014,22,19.5368559090784
06/12/2014,23,19.5355767716346
06/12/2014,24,19.5342977767459
07/12/2014,1,19.533018924767
07/12/2014,2,19.5317402160417
07/12/2014,3,19.5304616509302
07/12/2014,4,19.5291832297735
07/12/2014,5,19.5279049529317
07/12/2014,6,19.526626820757
07/12/2014,7,19.5253488335957
07/12/2014,8,19.524070991808
07/12/2014,9,19.5227932957459
07/12/2014,10,19.5215157457615
07/12/2014,11,19.5202383422065
07/12/2014,12,19.5189610854468
07/12/2014,13,19.517683975826
07/12/2014,14,19.5164070137098
07/12/2014,15,19.515130199442
07/12/2014,16,19.5138535333908
07/12/2014,17,19.5125770159084
07/12/2014,18,19.5113006473575
07/12/2014,19,19.5100244280848
07/12/2014,20,19.5087483584639
07/12/2014,21,19.507472438836
07/12/2014,22,19.5061966695775
07/12/2014,23,19.5049210510379
07/12/2014,24,19.5036455835825
08/12/2014,1,19.5023702675662
08/12/2014,2,19.5010951033519
08/12/2014,3,19.4998200913051
08/12/2014,4,19.4985452317833
08/12/2014,5,19.4972705251548
08/12/2014,6,19.4959959717744
08/12/2014,7,19.4947215720076
08/12/2014,8,19.4934473262201
08/12/2014,9,19.4921732347748
08/12/2014,10,19.4908992980399
08/12/2014,11,19.4896255163731
08/12/2014,12,19.4883518901424
08/12/2014,13,19.4870784197165
08/12/2014,14,19.485805105458
08/12/2014,15,19.4845319477381
08/12/2014,16,19.483258946917
08/12/2014,17,19.4819861033684
08/12/2014,18,19.4807134174553
08/12/2014,19,19.4794408895514
08/12/2014,20,19.4781685200196
08/12/2014,21,19.4768963092338
08/12/2014,22,19.4756242575622
08/12/2014,23,19.4743523653706
08/12/2014,24,19.4730806330381
09/12/2014,1,19.4718090609249
09/12/2014,2,19.4705376494157
09/12/2014,3,19.4692663988653
09/12/2014,4,19.4679953096638
09/12/2014,5,19.4667243821714
09/12/2014,6,19.4654536167645
09/12/2014,7,19.4641830138198
09/12/2014,8,19.4629125737029
09/12/2014,9,19.4616422967983
09/12/2014,10,19.4603721834746
09/12/2014,11,19.459102234111
09/12/2014,12,19.4578324490758
09/12/2014,13,19.4565628287564
09/12/2014,14,19.4552933735131
09/12/2014,15,19.4540240837441
09/12/2014,16,19.4527549598042
09/12/2014,17,19.4514860020918
09/12/2014,18,19.4502172109669
09/12/2014,19,19.4489485868253
09/12/2014,20,19.447680130027
09/12/2014,21,19.4464118409705
09/12/2014,22,19.4451437200241
09/12/2014,23,19.4438757675698
09/12/2014,24,19.4426079839895
10/12/2014,1,19.4413403696681
10/12/2014,2,19.4400729249819
10/12/2014,3,19.438805650313
10/12/2014,4,19.4375385460489
10/12/2014,5,19.4362716125634
10/12/2014,6,19.435004850252
10/12/2014,7,19.4337382594913
10/12/2014,8,19.4324718406633
10/12/2014,9,19.4312055941609
10/12/2014,10,19.4299395203552
10/12/2014,11,19.42867361965
10/12/2014,12,19.4274078924191
10/12/2014,13,19.4261423390471
10/12/2014,14,19.4248769599326
10/12/2014,15,19.4236117554465
10/12/2014,16,19.4223467259926
10/12/2014,17,19.4210818719503
10/12/2014,18,19.4198171937096
