Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
31/08/2013,22,36.0127832962562,0
31/08/2013,23,36.0617981702289,0
31/08/2013,24,36.1116139637561,0
01/09/2013,1,36.1615012811217,0
01/09/2013,2,36.2085263856952,0
01/09/2013,3,36.2519430830052,0
01/09/2013,4,36.2917363693141,0
01/09/2013,5,36.3278912097521,0
01/09/2013,6,36.3603925383286,0
01/09/2013,7,36.3892252579071,0
01/09/2013,8,36.4143742402521,0
01/09/2013,9,36.4358243259658,0
01/09/2013,10,36.453560324554,0
01/09/2013,11,36.4675670143715,0
01/09/2013,12,36.4778291426546,0
01/09/2013,13,36.4843314255131,0
01/09/2013,14,36.4870585479248,0
01/09/2013,15,36.4859951637409,0
01/09/2013,16,36.4811258956834,0
01/09/2013,17,36.4724353353449,0
01/09/2013,18,36.4599080431999,0
01/09/2013,19,36.443528548577,0
01/09/2013,20,36.4232813496947,0
01/09/2013,21,36.3991509136313,0
01/09/2013,22,36.371121676344,0
01/09/2013,23,36.3391780426527,0
01/09/2013,24,36.3033043862615,0
02/09/2013,1,36.2641916187504,0
02/09/2013,2,36.2246559364021,0
02/09/2013,3,36.1854036277446,0
02/09/2013,4,36.146435815047,0
02/09/2013,5,36.1077536227995,0
02/09/2013,6,36.0693581777105,0
02/09/2013,7,36.031250608693,0
02/09/2013,8,35.9934320469001,0
02/09/2013,9,35.9559036256869,35.9559036256869
02/09/2013,10,35.9186664806293,35.9186664806293
02/09/2013,11,35.8817217495243,35.8817217495243
02/09/2013,12,35.8450705723844,35.8450705723844
02/09/2013,13,35.8087140914431,35.8087140914431
02/09/2013,14,35.7726534511467,35.7726534511467
02/09/2013,15,35.7368897981596,35.7368897981596
02/09/2013,16,35.7014242813757,35.7014242813757
02/09/2013,17,35.6662580518905,35.6662580518905
02/09/2013,18,35.6313922630261,35.6313922630261
02/09/2013,19,35.5968280703228,35.5968280703228
02/09/2013,20,35.5625666315336,35.5625666315336
02/09/2013,21,35.5286091066382,0
02/09/2013,22,35.4949566578262,0
02/09/2013,23,35.4616104495108,0
02/09/2013,24,35.4285716483128,0
03/09/2013,1,35.3958414230874,0
03/09/2013,2,35.3634209448946,0
03/09/2013,3,35.3313113870181,0
03/09/2013,4,35.2995139249542,0
03/09/2013,5,35.2680297364232,0
03/09/2013,6,35.236860001366,0
03/09/2013,7,35.2060059019259,0
03/09/2013,8,35.1754686224831,0
03/09/2013,9,35.1452493496254,35.1452493496254
03/09/2013,10,35.1153492721587,35.1153492721587
03/09/2013,11,35.0857695811101,35.0857695811101
03/09/2013,12,35.0565114697192,35.0565114697192
03/09/2013,13,35.0275761334551,35.0275761334551
03/09/2013,14,34.9989647699886,34.9989647699886
03/09/2013,15,34.9706785792223,34.9706785792223
03/09/2013,16,34.9427187632718,34.9427187632718
03/09/2013,17,34.9150865264655,34.9150865264655
03/09/2013,18,34.8877830753581,34.8877830753581
03/09/2013,19,34.8608096187199,34.8608096187199
03/09/2013,20,34.8341673675286,34.8341673675286
03/09/2013,21,34.8078575350019,0
03/09/2013,22,34.7818813365566,0
03/09/2013,23,34.7562399898279,0
03/09/2013,24,34.7309347146829,0
04/09/2013,1,34.7059667331932,0
04/09/2013,2,34.6813372696543,0
04/09/2013,3,34.6570475505823,0
04/09/2013,4,34.6330988046984,0
04/09/2013,5,34.6094922629609,0
04/09/2013,6,34.5862291585299,0
04/09/2013,7,34.5633107267895,0
04/09/2013,8,34.5407382053445,0
04/09/2013,9,34.5185128340099,34.5185128340099
04/09/2013,10,34.4966358548299,34.4966358548299
04/09/2013,11,34.4751085120561,34.4751085120561
04/09/2013,12,34.4539320521635,34.4539320521635
04/09/2013,13,34.433107723843,34.433107723843
04/09/2013,14,34.4126367780036,34.4126367780036
04/09/2013,15,34.3925204677726,34.3925204677726
04/09/2013,16,34.3727600484981,34.3727600484981
04/09/2013,17,34.3533567777386,34.3533567777386
04/09/2013,18,34.3343119152814,34.3343119152814
04/09/2013,19,34.3156267231188,34.3156267231188
04/09/2013,20,34.2973024654748,34.2973024654748
04/09/2013,21,34.2793404087779,0
04/09/2013,22,34.261741821686,0
04/09/2013,23,34.2445079750669,0
04/09/2013,24,34.2276401420067,0
05/09/2013,1,34.2111395978209,0
05/09/2013,2,34.1950076200264,0
05/09/2013,3,34.1792454883698,0
05/09/2013,4,34.1638544848047,0
05/09/2013,5,34.1488358935194,0
05/09/2013,6,34.1341910009041,0
05/09/2013,7,34.1199210955729,0
