Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
04/11/2016,15,34.04370359,45.59292148
04/11/2016,16,34.05363507,45.59031373
04/11/2016,17,34.06355611,45.5877075
04/11/2016,18,34.07346667,45.5851028
04/11/2016,19,34.08336673,45.58249963
04/11/2016,20,34.09325624,45.579898
04/11/2016,21,34.10313516,
04/11/2016,22,34.11300347,
04/11/2016,23,34.12286111,
04/11/2016,24,34.13270806,
05/11/2016,1,34.14254428,
05/11/2016,2,34.15236973,
05/11/2016,3,34.16218437,
05/11/2016,4,34.17198817,
05/11/2016,5,34.18178108,
05/11/2016,6,34.19156307,
05/11/2016,7,34.20133411,
05/11/2016,8,34.21109416,
05/11/2016,9,34.22084317,
05/11/2016,10,34.23058111,
05/11/2016,11,34.24030794,
05/11/2016,12,34.25002363,
05/11/2016,13,34.25972813,
05/11/2016,14,34.26942141,
05/11/2016,15,34.27910343,
05/11/2016,16,34.28877415,
05/11/2016,17,34.29843354,
05/11/2016,18,34.30808155,
05/11/2016,19,34.31771814,
05/11/2016,20,34.32734329,
05/11/2016,21,34.33695694,
05/11/2016,22,34.34655907,
05/11/2016,23,34.35614963,
05/11/2016,24,34.36572858,
06/11/2016,1,34.37529589,
06/11/2016,2,34.38485152,
06/11/2016,3,34.39439542,
06/11/2016,4,34.40392756,
06/11/2016,5,34.4134479,
06/11/2016,6,34.42295641,
06/11/2016,7,34.43245303,
06/11/2016,8,34.44193773,
06/11/2016,9,34.45141048,
06/11/2016,10,34.46087123,
06/11/2016,11,34.47031995,
06/11/2016,12,34.47975659,
06/11/2016,13,34.48918112,
06/11/2016,14,34.49859349,
06/11/2016,15,34.50799367,
06/11/2016,16,34.51738161,
06/11/2016,17,34.52675728,
06/11/2016,18,34.53612064,
06/11/2016,19,34.54547164,
06/11/2016,20,34.55481025,
06/11/2016,21,34.56413643,
06/11/2016,22,34.57345013,
06/11/2016,23,34.58275132,
06/11/2016,24,34.59203996,
07/11/2016,1,34.601316,
07/11/2016,2,34.61057941,
07/11/2016,3,34.61983014,
07/11/2016,4,34.62906816,
07/11/2016,5,34.63829342,
07/11/2016,6,34.64750589,
07/11/2016,7,34.65670551,
07/11/2016,8,34.66589226,
07/11/2016,9,34.67506609,45.42432889
07/11/2016,10,34.68422696,45.42183359
07/11/2016,11,34.69337483,45.41934018
07/11/2016,12,34.70250966,45.41684868
07/11/2016,13,34.71163141,45.41435909
07/11/2016,14,34.72074003,45.41187142
07/11/2016,15,34.72983549,45.40938566
07/11/2016,16,34.73891774,45.40690184
07/11/2016,17,34.74798674,45.40441994
07/11/2016,18,34.75704245,45.40193999
07/11/2016,19,34.76608483,45.39946198
07/11/2016,20,34.77511384,45.39698592
07/11/2016,21,34.78412944,
07/11/2016,22,34.79313158,
07/11/2016,23,34.80212023,
07/11/2016,24,34.81109533,
08/11/2016,1,34.82005686,
08/11/2016,2,34.82900476,
08/11/2016,3,34.837939,
08/11/2016,4,34.84685953,
08/11/2016,5,34.85576631,
08/11/2016,6,34.8646593,
08/11/2016,7,34.87353846,
08/11/2016,8,34.88240374,
08/11/2016,9,34.8912551,45.36497751
08/11/2016,10,34.90009251,45.36252942
08/11/2016,11,34.90891591,45.36008336
08/11/2016,12,34.91772527,45.35763936
08/11/2016,13,34.92652053,45.35519741
08/11/2016,14,34.93530167,45.35275752
08/11/2016,15,34.94406863,45.3503197
08/11/2016,16,34.95282138,45.34788396
08/11/2016,17,34.96155987,45.3454503
08/11/2016,18,34.97028406,45.34301872
08/11/2016,19,34.9789939,45.34058924
08/11/2016,20,34.98768935,45.33816186
08/11/2016,21,34.99637037,
08/11/2016,22,35.00503692,
08/11/2016,23,35.01368895,
08/11/2016,24,35.02232642,
09/11/2016,1,35.03094928,
09/11/2016,2,35.0395575,
09/11/2016,3,35.04815102,
09/11/2016,4,35.05672981,
09/11/2016,5,35.06529382,
09/11/2016,6,35.07384301,
09/11/2016,7,35.08237733,
09/11/2016,8,35.09089674,
09/11/2016,9,35.0994012,45.30679982
09/11/2016,10,35.10789066,45.30440249
09/11/2016,11,35.11636507,45.30200736
09/11/2016,12,35.1248244,45.29961444
09/11/2016,13,35.1332686,45.29722372
09/11/2016,14,35.14169763,45.29483521
09/11/2016,15,35.15011144,45.29244893
09/11/2016,16,35.15850998,45.29006487
09/11/2016,17,35.16689322,45.28768305
09/11/2016,18,35.1752611,45.28530347
09/11/2016,19,35.18361359,45.28292613
09/11/2016,20,35.19195063,45.28055105
09/11/2016,21,35.20027219,
09/11/2016,22,35.20857822,
09/11/2016,23,35.21686867,
09/11/2016,24,35.2251435,
10/11/2016,1,35.23340267,
10/11/2016,2,35.24164613,
10/11/2016,3,35.24987383,
10/11/2016,4,35.25808573,
10/11/2016,5,35.26628178,
10/11/2016,6,35.27446194,
10/11/2016,7,35.28262617,
10/11/2016,8,35.29077441,
10/11/2016,9,35.29890663,45.24988302
10/11/2016,10,35.30702277,45.24754017
10/11/2016,11,35.31512279,45.24519968
10/11/2016,12,35.32320665,45.24286154
10/11/2016,13,35.3312743,45.24052577
10/11/2016,14,35.3393257,45.23819237
10/11/2016,15,35.34736079,45.23586135
10/11/2016,16,35.35537954,45.23353272
10/11/2016,17,35.36338189,45.23120648
10/11/2016,18,35.3713678,45.22888263
10/11/2016,19,35.37933723,45.2265612
10/11/2016,20,35.38729012,45.22424217
10/11/2016,21,35.39522644,
10/11/2016,22,35.40314613,
10/11/2016,23,35.41104915,
10/11/2016,24,35.41893545,
11/11/2016,1,35.42680499,
11/11/2016,2,35.43465772,
11/11/2016,3,35.4424936,
11/11/2016,4,35.45031256,
11/11/2016,5,35.45811458,
11/11/2016,6,35.4658996,
11/11/2016,7,35.47366758,
11/11/2016,8,35.48141847,
11/11/2016,9,35.48915222,45.19431747
